#Word;Pleasantness;Activation;Imagery
abadejo;1.3750;1.7500;2.2
abajo;1.616675;1.54375;2.45
abajo de;1.3722;1.4682;2.6
abandonado;1.4545;1.5833;2.4
abandonar;1.3979;2.071925;2.425
abandonar a alguien;1.4444;1.4444;3.0
abandonar el trabajo;1.61905;2.325;2.3
abandono;1.133325;1.86875;1.9
abanicar;2.27775;2.05;2.7
abanico;2.107625;1.989275;2.25
abarcar;2.17112;1.92388;2.0
abarrotar;2.1374;1.9017;2.7
abarrote;1.9000;2.5000;2.6
abastecer;1.75596;1.77174;1.68
abastecimiento;1.7778;1.9841;1.2
abatimiento;1.5455;1.5000;2.4
abatir;1.635725;1.94875;2.4
abeja;2.0000;1.8750;3.0
abertura;1.60238333333;2.03621666667;2.4
abierto;1.53016;1.78104;1.8
abismo;1.56438;1.49934;2.04
abismo de montaña;1.3636;1.4167;3.0
abismo de monte;1.3636;1.4167;3.0
abnegación;1.3636;1.9167;1.2
abogacía;2.4286;2.1111;3.0
abogado;1.779175;2.12975;2.3
abogar por;2.05355;2.07145;1.9
abolición;1.5000;2.1818;1.6
abonar;2.3343;1.93471666667;1.73333333333
abonar con cal;2.1667;1.4000;3.0
abono;1.66666666667;2.05553333333;1.73333333333
abordaje;1.7778;2.1111;1.6
abordar;1.55556666667;1.9037;2.2
a bordo de;1.8000;1.8750;2.8
aborrecer;1.2000;2.5000;1.4
aborto espontáneo;1.1111;2.1111;2.8
aborto provocado;1.0000;2.7273;2.6
abotonar;1.5714;1.2500;3.0
abovedar;1.4000;1.2000;3.0
abozalar;1.1429;2.0000;2.6
abrasador;1.0000;2.9000;2.8
abrasarse;1.0000;2.6667;2.8
abrazadera;1.3636;2.0833;2.2
abrazamiento;2.2500;2.4444;2.8
abrazar;2.49286666667;2.01956666667;2.86666666667
abrazarse;2.2500;2.4444;2.8
abrazarse amorosamente;1.6250;1.6250;2.6
abrazo;2.49286666667;2.01956666667;2.86666666667
abrevar;2.5000;1.7143;3.0
abreviación;1.6667;1.4286;1.2
abreviatura de logaritmo;1.5714;1.4000;3.0
abrigar;1.9509;1.6277;2.6
abrigo;2.08814285714;1.76855714286;2.54285714286
abriguito;1.80355;1.60715;2.9
abrimiento;2.48615;2.75215;1.2
abrir;1.7014;2.19943846154;2.32307692308
abrir el camino;2.0000;2.0909;2.6
abrirse;1.67898;2.29178;2.04
abrirse paso;1.1250;2.1250;2.4
abrir una brecha en;1.7500;1.4000;2.8
abrir un túnel;1.8889;2.1250;2.8
abrocharse;1.5714;1.2500;3.0
abrumador;1.5455;2.0833;2.0
abrupto;1.8333;2.4286;1.6
absceso;1.4375;1.97275;1.8
absolución;2.6667;2.0000;1.6
absoluto;1.8812125;1.630225;1.6
absolver;2.5606;1.8182;1.8
absorber la atención de;1.8333;2.3333;2.8
absorción;1.7778;1.6667;1.6
absorto;2.0000;1.4444;3.0
abstenerse;2.0000;2.0000;1.2
abstinencia;1.1111;2.1111;2.4
abstracción;1.54765;1.4222;1.7
abstracto;1.6667;1.4444;1.8
absurdo;2.5000;1.7143;1.6
abuela;2.8750;2.1250;3.0
abuelita;2.73015;2.0;3.0
abuelito;2.7077;2.0769;3.0
abuelo;2.7077;2.0769;3.0
abultado;1.7500;1.5000;2.4
abultar;1.3333;1.5714;2.2
abundancia;2.13293333333;1.5979;2.46666666667
abundancia de personas;1.3750;2.0000;3.0
abundante;1.41665;1.9405;1.4
aburrimiento;1.0000;1.3636;1.6
aburrir;1.23215;1.679175;2.4
abusar de;1.4286;2.5000;3.0
abuso;1.4286;2.5000;3.0
acabado;2.08335;1.8571;1.7
acabar;2.08335;1.59105;2.25
acabar con;1.4836;2.01001111111;2.35555555556
acabarse;1.31334;1.98294;1.88
academia;1.8889;1.6875;2.8
academia militar;2.0000;1.6250;3.0
academia naval;2.0000;1.6250;3.0
académico;1.8000;1.5000;2.6
acallar;2.05;1.503475;2.3
acaloradamente;2.7500;2.1000;2.2
acalorado;2.6667;1.6000;1.6
acalorar;1.75;1.6111;1.9
acalorarse;2.0000;2.2222;1.6
acampanarse;2.1667;1.5000;3.0
acampar;2.1389;1.95235;2.6
acamparse;2.5000;1.5714;3.0
acanalar;1.67143333333;1.7648;2.66666666667
acantilado;1.9861;1.56746666667;2.33333333333
acápite;1.37725;1.37275;2.5
acariciar;2.19465;2.039;2.3
acariciarse;1.6250;1.6250;2.6
acarrear;1.65793333333;2.08565;1.73333333333
acarreo;1.8000;1.9091;3.0
a casa;2.8333;1.1250;3.0
acatar;2.7000;2.0000;2.0
acaudillar;1.2000;1.8000;2.8
